UserID,RepetitionNo,CDGain,Thickness,Height,Sum(DriftCount)
8,2,1,10,80,30
8,2,1,20,25,1
8,2,1,20,80,3
8,2,1,30,25,0
8,2,1,30,80,0
8,2,1,40,25,6
8,2,1,40,80,1
8,2,10,10,25,0
8,2,10,10,80,7
8,2,10,20,25,0
8,2,10,20,80,0
8,2,10,30,25,1
8,2,10,30,80,0
8,2,10,40,25,0
8,2,10,40,80,0
8,3,1,10,25,1
8,3,1,10,80,19
8,3,1,20,25,2
8,3,1,20,80,4
8,3,1,30,25,0
8,3,1,30,80,3
8,3,1,40,25,0
8,3,1,40,80,0
8,3,10,10,25,2
8,3,10,10,80,2
8,3,10,20,25,0
8,3,10,20,80,0
8,3,10,30,25,2
8,3,10,30,80,0
8,3,10,40,25,0
8,3,10,40,80,1
